University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
56,Seoul National University,South Korea,"26,209",0.0634167385677308,10%,58 : 42,70.8,0.764423076923077,0.7453954496208017,0.6733870967741935,0.9461172741679872,0.2546728971962617
57,Washington University in St Louis,United States,"14,420",0.0319240724762726,24%,53 : 47,70.6,0.5853365384615384,0.5352112676056338,0.9818548387096774,0.1679873217115689,0.5829439252336448
58,The Hong Kong University of Science and Technology,United States,"9,864",0.088869715271786,32%,58 : 42,70.5,0.4783653846153846,0.6067172264355363,0.876008064516129,0.9207606973058636,0.9766355140186918
59,Wageningen University & Research,Netherlands,"15,404",0.0785159620362381,27%,55 : 45,70.3,0.4663461538461538,0.57204767063922,0.931451612903226,1.0,0.8726635514018692
60,University of Amsterdam,Netherlands,"29,157",0.0608283002588438,32%,59 : 41,69.6,0.4375,0.6143011917659804,0.9324596774193548,0.1188589540412043,0.9088785046728972
61,Brown University,United States,"10,037",0.041846419327006,21%,58 : 42,69.3,0.6358173076923077,0.5482123510292525,0.8941532258064516,0.0332805071315371,0.5747663551401869
62,Australian National University,Australia,"16,758",0.0612597066436583,51%,52 : 48,69.0,0.4771634615384614,0.6695557963163598,0.8165322580645161,0.1378763866877971,0.9567757009345794
63,"University of California, Davis",United States,"37,639",0.0547886108714409,18%,60 : 40,68.5,0.578125,0.638136511375948,0.8074596774193549,0.2456418383518225,0.6378504672897196
64,"University of California, Santa Barbara",United States,"25,860",0.1212251941328731,20%,54 : 46,68.4,0.3966346153846154,0.5861321776814735,0.9616935483870968,0.6846275752773374,0.7231308411214954
65,University of Southern California,United States,"40,549",0.0526315789473684,22%,49 : 51,68.3,0.5685096153846153,0.5547128927410618,0.903225806451613,0.109350237717908,0.5794392523364487
66,Utrecht University,Netherlands,"32,532",0.0720448662640207,13%,62 : 38,68.2,0.3930288461538461,0.6348862405200434,0.9112903225806452,0.5673534072900159,0.7558411214953271
67,Zhejiang University,United States,"46,124",0.0500431406384814,16%,58 : 42,68.1,0.6694711538461537,0.7302275189599133,0.625,1.0,0.4789719626168224
68,Kyoto University,Japan,"22,269",0.0379637618636755,12%,25 : 75,68.0,0.7920673076923077,0.7768147345612134,0.5191532258064516,0.8193343898573693,0.308411214953271
69,University of North Carolina at Chapel Hill,United States,"31,080",0.0323554788610871,8%,59 : 41,67.8,0.5685096153846153,0.5666305525460456,0.9324596774193548,0.144215530903328,0.3224299065420561
70,Delft University of Technology,Netherlands,"20,299",0.0677308024158757,31%,31 : 69,67.7,0.5673076923076923,0.7475622968580716,0.5877016129032258,0.8954041204437402,0.935747663551402
71,Boston University,United States,"27,243",0.0448662640207075,31%,59 : 41,67.5,0.532451923076923,0.5276273022751896,0.9284274193548387,0.0665610142630744,0.6051401869158879
71,UNSW Sydney,United States,"45,133",0.1548748921484037,40%,47 : 53,67.5,0.4747596153846154,0.5590465872156013,0.8578629032258065,0.4215530903328051,0.9462616822429906
73,Charité - Universitätsmedizin Berlin,Germany,"8,429",0.0759275237273511,21%,64 : 36,67.2,0.4435096153846154,0.4853737811484291,0.9879032258064516,0.7955625990491284,0.6448598130841121
74,University of Science and Technology of China,United States,"18,573",0.0332182916307161,6%,58 : 42,67.1,0.641826923076923,0.6229685807150597,0.7862903225806451,0.5150554675118859,0.2663551401869158
